title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Mechanical Designer,"Design and develop innovative products, from concept to production, ensuring usability, functionality, and aesthetics.","Product design principles Prototyping and wireframing User research User testing UI/UX design 3D modeling (if applicable) Collaboration Problem-solving Creativity Attention to detail Communication skills Software proficiency (e.g., Sketch, Adobe XD)",$64K-$86K,1 to 13 Years,Kampala,Uganda,Temporary,Ball,2022-05-25,"communication, wireframing, adobe, collaboration, sketch, problem solving, prototyping, user research, creativity",9,2,Marketing & Architecture,0,Engineering & Systems
Supply Chain Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,$59K-$92K,3 to 8 Years,Nuku?alofa,Tonga,Contract,Olin,2022-03-05,"analytics, problem solving",2,2,Marketing & Architecture,5,Testing & Performance
Network Security Specialist,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.","Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning",$60K-$87K,5 to 14 Years,Bern,Switzerland,Part-Time,Starbucks,2022-11-29,"cybersecurity, siem, vulnerability, security, incident response",5,4,Network & Security,4,Network & Security
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$63K-$119K,0 to 11 Years,Monrovia,Liberia,Full-Time,O'Reilly Automotive,2022-11-16,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving",8,3,Data & Analytics,1,Data & Business Analytics
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,$61K-$81K,3 to 14 Years,Manila,Philippines,Temporary,SBI Life Insurance Company,2022-08-04,"critical thinking, communication, problem solving",3,3,Data & Analytics,2,Application Development
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$62K-$105K,5 to 11 Years,Singapore,Singapore,Part-Time,LPL Financial Holdings,2022-08-14,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
IT Support Specialist,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",$60K-$119K,2 to 13 Years,San Marino,San Marino,Contract,Live Nation Entertainment,2023-05-24,,0,2,Marketing & Architecture,4,Network & Security
Electrical Designer,"PCB Designers specialize in designing printed circuit boards (PCBs). They create PCB layouts, ensure proper connectivity, and consider electrical and mechanical requirements.",PCB design Electronics PCB layout software proficiency Circuit design Quality control,$57K-$93K,2 to 9 Years,Ṣo Tom̩,Sao Tome and Principe,Temporary,Lithia Motors,2023-03-24,,0,0,Design & UI/UX,3,UI/UX Design
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$56K-$109K,2 to 8 Years,Algiers,Algeria,Temporary,Bank of America,2023-02-10,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving",8,3,Data & Analytics,1,Data & Business Analytics
Inventory Analyst,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,$57K-$117K,5 to 15 Years,Bamako,Mali,Temporary,Centrica,2022-03-22,problem solving,1,2,Marketing & Architecture,4,Network & Security
Civil Engineer,"A Transportation Engineer plans and designs transportation systems, including roads, highways, and public transit. They aim to improve transportation efficiency and safety.","Transportation engineering Traffic analysis and planning Civil engineering software (e.g., MicroStation, AutoCAD Civil 3D) Roadway design Public transportation knowledge",$62K-$130K,0 to 8 Years,Copenhagen,Denmark,Part-Time,AutoNation,2022-03-01,,0,2,Marketing & Architecture,0,Engineering & Systems
Environmental Engineer,"An Environmental Consultant assesses environmental impacts, provides regulatory compliance guidance, and develops strategies for sustainable practices and environmental protection.",Environmental assessments Regulatory compliance Environmental impact analysis,$61K-$119K,5 to 8 Years,Kabul,Afghanistan,Part-Time,Occidental Petroleum,2022-08-17,compliance,1,2,Marketing & Architecture,3,UI/UX Design
UI Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",$55K-$98K,0 to 11 Years,Moroni,Comoros,Contract,Graphic Packaging Holding,2022-11-06,"user interface, html, javascript, web development",4,0,Design & UI/UX,2,Application Development
Data Scientist,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,$62K-$104K,1 to 8 Years,Kathmandu,Nepal,Full-Time,Steel Dynamics,2022-10-18,"machine learning, python, deep learning",3,2,Marketing & Architecture,0,Engineering & Systems
Digital Marketing Specialist,"Email Marketing Specialists design and execute email marketing campaigns. They create email content, segment email lists, and analyze campaign performance to achieve marketing goals and engage subscribers.","Email marketing platforms (e.g., Mailchimp, Constant Contact) Email campaign creation and segmentation A/B testing and optimization Email deliverability and compliance Metrics tracking and analysis",$56K-$119K,5 to 12 Years,Tegucigalpa,Honduras,Intern,TIAA,2022-05-02,compliance,1,2,Marketing & Architecture,0,Engineering & Systems
Digital Marketing Specialist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy",$60K-$91K,3 to 15 Years,Honiara,Solomon Islands,Part-Time,Infosys,2023-04-19,analytics,1,2,Marketing & Architecture,3,UI/UX Design
